Companyname;CVR;Telefonnumre
Schou Pedersen Multiservice ApS;42573531;
Falke Natursten ApS;42576166;
Fortuna-fonden;42577855;
Øjenklinikken Bornholm ved Friis og Correll I/S;42580066;
Café KeldH ApS;42583367;
NORDSJÆLLANDS ANDELS GROVVAREFORENING A.M.B.A.;42737615;
Synergy Denmark A/S;42583588;
PRP-Lab ApS;42740780;
Stimuliver ApS;42597333;
SEIJ Food ApS;42597392;
F1 Arkitekter ApS;42745022;
DEN SELVEJENDE INSTITUTION STRANDBY FISKERIHAVN;42601519;
IDsure ApS;42747173;
Salling Klejnsmedie ApS;42602108;
MSA-BYG.DK ApS;42749699;
AAA Service ApS;42602477;
KBH Byggeri ApS;42603937;
Piano Bar Herning ApS;42754277;
TARDIS ApS;42756733;
Pizzabar Casanova;42606863;
ConAmore ApS;42758663;
Hammers & Pliers ApS;42759899;
Best Farm A/S;42760277;
Lones Tapas;42608947;
NP 2021 ApS;42760749;
Myrepair ApS;42761273;
MO EL Teknik ApS;42610127;
Edelmarks Anlæg og brolægning ApS;42610852;
Oriola Advisory Services Denmark ApS;42618543;
Jinhe ApS;42764841;
Tømrermester Tobias Mortensen ApS;42765783;
Nord Miljø ApS;42620343;
Krabbe Christensen Ejendomme ApS;42769274;
MIBtræ ApS;42620742;
MM Maskinservice ApS;42769983;
KD Rengøring og Byggeservice ApS;42770132;
Rent NU ApS;42770337;
Tandplejerne på Christianshavn I/S;42771066;
BetonSolutionS ApS;42772224;
Cystotech ApS;42773565;
Ærligt Frederikssund ApS;42624373;
Nedergaard Entreprenør;42490849;
I. Climb ApS;42491012;
ELJ Smedie & Montage ApS;42491063;
Alment Praktiserende Læge Lejla Johannesen ApS;42491721;
DeafTawk ApS;42780243;
Fohntech Denmark filial af Fohntech Ireland Limited;42780359;
Marketing by Will ApS;42496502;
Frema A/S;42497444;
Tio Mario ApS;42782491;
Omnit ApS;42782513;
Bloomtree Technologies ApS;42783560;
Classic Clean ApS;42499765;
Renovering Huse ApS;42785032;
Tømrerfirmaet Thomas Møller ApS;42785210;
Prima Pizza;42500771;
Råt&Godt ApS;42504262;
TT Service Frederiksberg ApS;42787922;
QF af 25/6 2021 ApS;42504629;
Corendon Denmark ApS;42789860;
Entreprenør Jimmy Sørensen ApS;42505552;
DK Fliser ApS;42790893;
Færgekroen Hadsund ApS;42791504;
Tandlæge Timoor Kalali ApS;42505641;
VitaCura ApS;42505781;
SPG Pack & Logistics A/S;42798509;
KH Tømrer & Snedker APS;42506222;
NGA ApS;42798762;
The Shipping Collective ApS;42799556;
Gejl Tømrer og Snedker ApS;42802042;
Tandlægerne Nord-smil.dk København S ApS;42802522;
Q-Auto Næstved ApS;42804487;
Aalborg Taxa 35102030 ApS;42804746;
Kurte by Berger ApS;42507105;
Fotograf Guld ApS;42625361;
AR Dental ApS;42808008;
TRANSPOREON ApS;42808911;
DL Fried Chicken Kolding ApS;42627836;
IBF BioBeton ApS;42628069;
Taffelbay Management ApS;42810223;
Ørestad Salon ApS;42810339;
Autoriserede Fysioterapeuter ACT Fys ApS;42631124;
Sorring Pizza & Grill;42634719;
ReData A/S;42636169;
Arensbak ApS;42816094;
Værftet Skive ApS;42642886;
KÖSK KEBAB FOOD ApS;42643033;
Benny Hansen Ringsted ApS;42819425;
Marleon ApS;42820237;
Hearables 3D ApS;42821322;
Lægehuset Gråbrødrepassagen I/S;42821772;
Hyme Energy ApS;42822027;
Univent ApS;42823414;
Den Danske UNICEF Fond;42824534;
UMA Administration ApS;42644110;
Dyreklinikken i Rødvig ApS;42828793;
UniFactory ApS;42835994;
Expres Pizza;42837016;
She Post Production ApS;42838187;
Elgaards Frisørsalon ApS;42646784;
Nordic Marine Partner ApS;42839191;
CWI Denmark ApS;42839213;
Profysio ApS;42507164;
Arne Skafdrup A/S;42507555;
Infront Denmark ApS;42663026;
God Bilpleje ApS;42664529;
Our New Energy Consulting ApS;42841811;
ML CPH ApS;42665525;
MonoMono ApS;42844101;
Cafe Nytorv;42844756;
Indsatsteam ApS;42665673;
Pizza & Dreams ApS;42848042;
Baryl Frb. ApS;42667188;
Mamas manaish House;42668362;
Selskab af 09.09.2021 ApS;42668443;
Haraldsholm v/ Troels Wind;42852015;
Mido-DK ApS;42855448;
Coeno ApS;42855847;
Vestergades Cafe ApS;42855960;
CM.com Denmark A/S;42857661;
Abildholt ApS;42858757;
Fenixys SAS;42858846;
Farmors Bodega ApS;42861243;
Asserbo Kiosk ApS;42861790;
Autoriseret Fysioterapeut FysioDanmark Vanløse ApS;42864250;
Bruun Entreprise & Miljøteknik ApS;42864501;
Dannebrog Gulv ApS;42866326;
Mettes Guld ApS;42867446;
Tech Collective Cyber Tech Services A/S;42868094;
Luci transport;42870277;
Herrested Auto ApS;42871133;
Musashi Sushi ApS;42679453;
Cafe Hangout ApS;42679771;
Real Lava ApS;42874221;
GreenPort North P/S;42680222;
Joudy ApS;42875864;
Mix Flowers ApS;42876445;
Roma Smidstrup ApS;42876488;
Alvenir ApS;42876976;
Auto Pouls Pop-Up ApS;42683507;
Bodega No. 1 Bjerringbro ApS;42693162;
Ejendomsmæglerfirmaet John Frandsen Silkeborg A/S;42877980;
Foreningen reelly;42881457;
Lægehuset Kiplings Alle I/S;42882666;
Catering Kompagniet ApS;42882933;
Café Bryggen ApS;42884561;
Ølgod Dyrlæger;42884693;
Umove Service ApS;42693707;
Miri De Lux;42694010;
EAP A/S;42886874;
Bangkok Canteen;42695572;
Søgaard Smedie og Stålbyg ApS;42890324;
Strangas 2 ApS;42890421;
Ducor ApS;42890782;
MMT Denmark ApS;42696242;
Myver ApS;42698261;
Ringkøbingvej 361 ApS;42699195;
KGV17 Aps;42700665;
Tandlæge Kristina Juul ApS;42702412;
ULT Denmark ApS;42893110;
Jobani Aps;42893854;
La Serra ApS;42893870;
OMT People ApS;42894435;
Ma-ce ApS;42894524;
Ebbefos Fonden;42894974;
Juli Living Denmark ApS;42895431;
Horsens Nightlife 2024 ApS;42895628;
Boudigaard Begravelse v/Søren Toft;42898732;
HSBA ApS;42898937;
Tatami ApS;42705543;
Kolind Autocenter ApS;42900028;
Laubek1 ApS;42900567;
Wichmand Byg ApS;42707392;
Middelfart Autoteknik ApS;42903493;
Aktivbyg Tømrer ApS;42708984;
KOB Industries ApS;42903795;
Østbirk Autoteknik ApS;42904163;
RNA Service;42904457;
Servicemarket ApS;42904589;
Home.Earth Operations Denmark ApS;42905925;
Cake SiSi ApS;42906344;
Cafe Skytten ApS;42906387;
Johns VVS og Ejendomsservice ApS;42906905;
ngo89 ApS;42907340;
Sushi7100 ApS;42713848;
Vestegnens 2620 ApS;42908746;
Orbis Medicines ApS;42715646;
H - TM ApS;42717444;
Lægerne Laursen & Dahl I/S;42719919;
WD Entreprise ApS;42721778;
ByAulum A/S;42910031;
Cafe S ApS;42911860;
RéVision+ ST ApS;42722383;
Verdo Forsyningsservice A/S;42912301;
DEN SELVEJENDE INSTITUTION FOLKEHJEM;42913456;
Frede og Vesters ApS;42915122;
N&P 2020 ApS;42918989;
Birks ApS;42919241;
Tjæreborg Pizzaria;42919330;
Cafe 2770 ApS;42920371;
Mika Byg ApS;42723363;
Tømrermester Allan Hansen ApS;42723606;
Allan Skovgaard Nyborg;42921505;
Kiropraktisk Klinik - RygXperten ApS;42727318;
Norwegian Support Office DK ApS;42923397;
Danworks ApS;42730491;
DeaL Energy A/S;42734691;
Selvhent ApS;42738212;
FS Stål ApS;42924539;
Lund Entertainment ApS;42925829;
Thomas Aaby Tømrer og Ejendomsservice ApS;42741299;
Akteamservice ApS;42928526;
Football Development and Data ApS;42932930;
Horizon56 A/S;42743127;
Vestkystens Rengøringsservice ApS;42934968;
Bar Poldo 2021 ApS;42935298;
Restaurant Johansens ApS;42746355;
THOR Autocenter ApS;42935964;
Livio Sperm Bank ApS;42748552;
Jannik Lorenzen;42937517;
RedShoes ApS;42937908;
Æ Bette Bar;42751367;
Stefan ApS;42752398;
Thk El ApS;42757233;
Anker Convenience ApS;42760358;
Kristian Drewsen Porebeton ApS;42761583;
Spice Vest Bistro ApS;42764035;
Lægeklinikken Rebild Syd;42764434;
Werner Sobek AG  Copenhagen Office filial af Werner Sobek AG;42946389;
Rosenklinik ved speciallæge Kristian Gottliebsen;42948985;
Ollis-Diner ApS;42767212;
Tandlægerne På Christianshavn I/S;42769886;
Skagen Bageri ApS;42774383;
Rødovre El & VVS ApS;42774545;
Eagle Express ApS;42774723;
Burger Hytten 2 ApS;42775975;
DanByg Tømrer og Montage;42952435;
Profit Prime ApS;42777471;
GMB Ejendomme ApS;42780839;
More Living Café ApS;42956295;
Alfa Laval Aalborg Header-coil Company A/S;42782076;
Kaya Research ApS;42784133;
Cro Top Ventilation;42958263;
Food Partners World 2022 ApS;42963348;
xTech ApS;42787167;
Skanlux Totalbyg ApS;42787450;
Safinah Group ApS;42788139;
BeiGene Denmark filial af BeiGene International GmbH Schweiz;42790516;
Red  Technics Denmark ApS;42792667;
Tømrerfirmaet Høgh & Milo ApS;42972975;
R4R service ApS;42973386;
HAC Transport ApS;42973440;
CMT Service ApS;42973599;
Nordic Alpha Partners II ApS;42795968;
Roccai ApS;42976709;
Nordic Security n Services ApS;42977497;
Florie ApS;42980986;
Tandlægeselskabet ORIS Tandlægerne Frejlev I/S;42798673;
MDOK ApS;42806056;
Alanya 2200 ApS;42807729;
Serup Minitransport ApS;42982849;
Skadedyrservice Nordkysten ApS;42983144;
HUZO BYG;42809128;
Copenhagen Imaging ApS;42810061;
Uncles I/S;42811777;
Willys bar ApS;42984566;
TMK anæstesi I/S;42814075;
WARI ApS;42985120;
Rafin ApS;42989096;
Kompa9-Cph ApS;42814350;
Kolumbia Christianshavn ApS;42817422;
Northstake ApS;42818739;
TB Projects ApS;42991430;
Nordic Institute of Health Economics A/S;42826774;
Oatly Denmark ApS;42992836;
Hasseris Medier ApS;42993077;
Sønderjysk Mandskab & Montage ApS;42993131;
ABiler A/S;42660485;
HAVE PARK EXPERTEN APS;42995347;
MR Capital Invest ApS;42661848;
PPJ Endrup ApS;42995932;
FF Entreprise ApS;42996068;
Chambre Private dining ApS;42996084;
Cairo Salon ApS;42996483;
JSJ Rengøring / Mandskabsudlejning ApS;42996777;
Sellerspoint Danmark ApS;42999547;
Bakkegaarden Agro ApS;42999644;
Nextmune ApS;42999911;
Focus Bio Energy ApS;43000020;
Jemi 2022 ApS;43000233;
Stechers Århus ApS;43000535;
Bistro Le Clos ApS;43000659;
NordInsights Health Tech ApS;43001833;
GUUNI ApS;43002805;
RD Revision ApS;43003488;
Kraphusene ApS;43004808;
Centralhjørnet ApS;42841781;
Solid Therapeutics ApS;43007068;
Ma´-Fabrikken ApS;42842109;
Flora Pleje ApS;43008765;
NIO Denmark ApS;42844845;
Gasse Nyvang A/S;43009451;
gotfred Aarhus ApS;43009729;
G-P-S ApS;43010174;
Copenhagen branch filial af MSIM Fund Management (Ireland) Limited Ireland;43011987;
Bengtsson & Spelmann ApS;42849545;
Alment praktiserende læger på Grøndalsvej Haslev ApS;43013467;
Bedøvelse.dk ApS;43013521;
Hillerød Pava Center ApS;43013637;
MA Ventilation Montage ApS;42851272;
OnlineMarketingBureau.dk ApS;43014501;
The Burger Næstved ApS;42851523;
Normative ApS;43015125;
Sand Facility ApS;42871605;
Mik Mik Thai Food ApS;43017705;
Tvingbro v/ Mette Tving Andersen;43018574;
And-Living Amager Strand ApS;42874183;
VITO Ejendomme ApS;42875260;
Sensum Plus ApS;42877832;
Vadstrup ApS;42877883;
Flexparking A/S;43026151;
Liva Pizza ApS;43026992;
Jacob Larsen;43029029;
Bestcleaner ApS;43029290;
Sunes Bodega ApS;43029452;
GI 14 ApS;43030167;
F&S Vinduespolering ApS;43030957;
USA Denmark Law Advokat ApS;42884839;
SF Advisory ApS;42886696;
Brdr. Christensens ApS;42888117;
NM Anlæg & Rail ApS;43033522;
TGD Elevators ApS;43040693;
PRS Trans ApS;43040863;
Fonde.dk P/S;42890790;
Monk ApS;43041460;
Nordic Greens Salat A/S;42890839;
Pandekagehuset Fanø ApS;42890979;
Binné Scandinavia A/S;42891908;
Robile Gourmet ApS;43043269;
Factum Regnskab og Bogholderi Taulov ApS;43045040;
Tandlægerne CareDent ApS;42892327;
NKN Ejendomme ApS;43049674;
Krokodille ApS;42899623;
GetTheService ApS;43049984;
Multiplier Technologies Denmark ApS;42902306;
Nordmark Group ApS;43051458;
POT & TOT ApS;42903698;
Velo Revision ApS;42908061;
Bad Land ApS;42909130;
Johan Ruijter;43054945;
SKOVBY AUTOLAKERING APS;42909572;
AF Transport Logistik ApS;42909904;
Salon Afrin ApS;43058207;
Hedehuse ApS;43058835;
Tasty Kebab ApS;43060562;
SØREN SKIFTER ApS;42909912;
MVS SERVICE & UDLEJNING ApS;42912123;
Khadka Familie ApS;43066137;
Tech Automation ApS;42920983;
Ejendomsmæglerfirmaet John Frandsen Hinnerup Hadsten & Skødstrup A/S;42921149;
Kødstadens Burger Joint Frederiksbjerg ApS;43067753;
Lion Stagecraft ApS;43070282;
CorpusCare Fysioterapi ApS;43071122;
AI-nergy ApS;43071432;
Skovgård Totalentreprise ApS;42923370;
Lykkebo Odense ApS;42924148;
2n2 ApS;43073850;
Pizze Dei Fratelli ApS;43075071;
AJ Kloakservice ApS;43076698;
Morten HC ApS;43076752;
Innos Europe ApS;42924377;
Mogenstrup & Nielsen VVS ApS;43078151;
RM-BYG ApS;42924504;
Tri Food ApS;43079018;
Dyrbergs Montage ApS;42926086;
ABM Nortek ApS;43080725;
Lille Boss Service;42934135;
MedKon ApS;43083163;
UNKAKU ApS;43083740;
Vanni Is;43083880;
M.I Byg ApS;43084097;
Køge Spiseklub ApS;43084143;
Njord Ejendomme ApS;43084496;
Flip ApS;43084518;
MSL Engineering Denmark ApS;42935654;
MMI Mobility ApS;43089048;
Familierestaurant Vigsø ApS;43091379;
AUTO1 Danmark ApS;42936022;
talogregnskab.dk ApS;42937975;
Staticus filial af Uzdaroji akcine bendrove STATICUS Litauen;42942693;
D-E Rensvane ApS;42942928;
Tandlægeselskabet Tandlægen.dk - Islands Brygge ApS;42944068;
Favorit Pizza og Grill Restaurant;43097687;
Blue Logistics Air & Ocean ApS;42944793;
BlackWood Ventures ApS;43098063;
FB Rådgivning & Service ApS;43098691;
Nanas I/S;43098810;
Ejendomsmæglerfirmaet Bork Frederiksen & Vincentz ApS;42944858;
HAVKATTEN KALUNDBORG ApS;43100564;
Trækbanen 14 ApS;42945374;
Profil Byg Danmark ApS;42949299;
Bakery By Jørgensen ApS;43101099;
Gaia Cocktails ApS;42950254;
TMSS Denmark ApS;43101498;
Lunderskov Hallens Cafeteria;42951382;
Station Nord ApS;42951501;
Hallquar Engineering Services Limited filial af Hallquar Engineering Services Ltd. Irland;43107704;
Sharks4It ApS;43108239;
Tømrermestrene Sætre og Storgaard ApS;43108654;
Slagelse Rengøring&Service ApS;42951668;
EED ApS;43110845;
GT Soltoften;42951749;
Grafisk Tryk v/Tommy Jørgensen;42954799;
Kanten ApS;42954926;
Iver Entreprise og Service ApS;43112279;
COA ApS;43113771;
Køge Dyreklinik I/S;43114204;
Phoenix Optimum ApS;43114697;
Øster-Sottrup Vandværk A.M.B.A.;42956856;
Kvantify ApS;42958093;
Moelven Danmark Sales A/S;43115693;
Ny Klitmøller Røgeri ApS;42967688;
Cepheo A/S;43117246;
Multika Snedkerier A/S;43117769;
Pleje-Omsorg ApS;43118129;
Kin AI ApS;43118420;
SonicEdge DK ApS;43120832;
Nordisk Dyrepark ApS;42967769;
Esbjerg Murer Service ApS;43122886;
Jako EL ApS;43124145;
Tandlægeselskabet Helsingør Tandcenter I/S;42970247;
Skave Nedbrydning A/S;43124706;
Pleasure Food ApS;42971146;
Bar 1 ApS;43126504;
Teracloud ApS;43128035;
Velling Forsamlingshus ApS;42971162;
MJ Gothersgade ApS;42976237;
Fru Proper Næve ApS;42981826;
Korsør Tandlægeklinik I/S;43133748;
Multi-Service København ApS;42982318;
Wok This Way Frederiks Alle ApS;42982555;
OOONO Medical A/S;42983179;
Dit Indkøb ApS;42984345;
KK EL-teknik ApS;42984523;
Restaurant Snekken ApS;43138383;
BM Restauration ApS;42984779;
S.H. Juridisk Rådgivning ApS;43139657;
Tegner Media ApS;43140140;
Decentra ApS;43141244;
G.B. ELECTRONICS LIMITED Filial af G.B. ELECTRONICS LIMITED Storbritannien;43141864;
Nordic Scaleup ApS;43144510;
Borgbjergsvej 13 ApS;43144588;
Restaurant Backhaus 2022 ApS;43145193;
Vetnordic A/S;43145975;
Star Pack ApS;43146173;
5eren;43146866;
Vonsild Byggeservice ApS;42989398;
Skjøde Administration A/S;42989460;
Blinkenberg Møbelsnedkeri ApS;43148168;
Restaurant havfruen;43149067;
Bogø Elektrikeren ApS;43149180;
Café Henning;42990442;
Elby ApS;43151436;
Pure Storage Denmark ApS;43152394;
Nors ApS;43152904;
HS Trucks ApS;42992356;
A Gen Z Company ApS;43153331;
NordiX Partner ApS;42995215;
Byens Iscafe;43159895;
Dianas ApS;43159909;
Cafe B ApS;43160419;
Opholdsstedet Viggo ApS;42839027;
Frirum El ApS;43161962;
Upshare ApS;42839493;
Pluto.markets Fondsmæglerselskab A/S;42995851;
Klinik Dandanell ApS;42839795;
Ejby Tømrer- og Snedkerforretning A/S;43166344;
Mymai ApS;43167502;
Ploy Cafe & Thai Restaurant;43168274;
Sushiv ApS;43169769;
Gregersen & Husted ApS;43170333;
Helin Hair 2 ApS;42841692;
Lux Rengøring;43008412;
The cleaning bee;43008994;
Jemvig rengøring v/ Fetije Zulbeari;43174673;
ZupplySite ApS;43013459;
AMDH Tilst 2025 I/S;43014463;
Another.Pizza ApS;43176560;
Inter Biosolutions ApS;43014757;
DANCY;43016989;
Henrik K 2022 ApS;43021540;
Predicti ApS;43022032;
ML Multiservice;43178679;
Gynækologisk Klinik Speciallæge Helene Nortvig;43022229;
ACT Safety ApS;43023721;
Ramskov - Management Consulting ApS;43180932;
Skovbo Farm I/S;43031430;
Signinn ApS;43031929;
Ramskov - Digital Transformation ApS;43180975;
Novutech ApS;43182471;
Respired Denmark (Filial af Respired Limited England);43182501;
FNA Fiber ApS;43182978;
Thors Mølle ApS;43032658;
Eco Auto Service ApS;43040928;
Bodega 100 Herlev ApS;43041924;
K.G. Larsen ApS;43186841;
bredtoft ApS;43042181;
MEDIA PRODUCTIONS ApS;43043072;
ET Europe ApS;43190806;
Cafe BIF I/S;43048996;
Breinholt VVS ApS;43193163;
SKF Anlæg ApS;43049925;
Sikker Leasing A/S;43193392;
GCG;43050737;
MAT ApS;43051555;
Vester Ommosegård ApS;43196499;
Øjenklinikken Witt og Børme I/S;43051733;
OnSpotRepair Hvidovre C ApS;43051806;
v/ Ida Münter;43198165;
Restaurant-Laguna ApS;43202766;
Bens hverdagskøkken;43055453;
BN Container ApS;43204718;
Ostsee Geruestbau Denmark ApS;43057340;
ALLEKAN ApS;43207423;
GOTO Sønderborg A/S;43061747;
Autocenter Sydals ApS;43209337;
Firkløver-fonden;43210203;
Brookhaven Instruments Aktiebolag Danmark filial af Brookhaven Instruments AB Sverige;43212613;
Marys Pizza;43213121;
Alleys ApS;43216090;
Prima Café Hobro ApS;43217771;
Danske Flådeskibe K/S;43219626;
Leg-Med ApS;43220403;
Gaard Byg ApS;43221485;
Under Masken 2022 ApS;43223704;
Børnelægecenteret v/Kasper Dalby;43224042;
EPI-USE Labs Denmark filial af EUlabs BV Holland;43226452;
Tip Top Service;43227289;
Bagerdygtigt - Sydhavnen ApS;43227432;
Pip & Øf;43062549;
MJJ Biotech A/S;43227831;
Tornbjerggaard 2022 ApS;43228277;
Strøm & Brammer ApS;43228366;
BO-Renovering ApS;43066501;
Bootleggers IB ApS;43067060;
Drivalia Lease Danmark A/S;43071831;
Biomason Denmark ApS;43073001;
Kings Restaurant ApS;43232606;
Tanken Karup ApS;43233386;
Kellers Park Montage ApS;43233440;
Bernbom Consult ApS;43234099;
In Futurum ApS;43234242;
GULDSMED MAIKEN PADE ApS;43234269;
Boksa & Mørum ApS;43078097;
Hvalpsund Golf Restaurant;43235494;
Euroimpianti Denmark Filial af Euroimpianti S.r.l. Italien;43078232;
Odamsgård ApS;43079840;
Greenmo ApS;43238353;
Ribe Pakhus ApS;43240501;
Yeerros ApS;43081276;
Fromberg Aps;43088084;
Boxlight Denmark ApS;43244701;
ITCI One Systems A/S;43092804;
SJCT ApS;43245120;
Storyboard ApS;43245155;
Cast4 ApS;43246860;
The waffle house;43246925;
Sushi Amor Vallensbæk ApS;43095048;
Folmers Mikrobageri;43247719;
ØBM-Bornholm ApS;43095145;
B/A ApS;43095420;
Ninety ApS;43096990;
OrthoVet ApS;43098047;
Lystrup Tømrer og Malerforretning ApS;43099701;
CIC Operations Herning ApS;43100599;
Bar Creator ApS;43215183;
End of the World Productions ApS;43211838;
Bering & Meulengracht ApS;43211277;
Privaten Iscafe ApS;43210726;
Traneskov Maskinstation ApS;43210440;
Solo Pizza Holbæk ApS;43247883;
Wingit ApS;43247921;
Pleasant Copenhagen ApS;43248340;
Hundeklinikken ApS;43248782;
SMB Element Montage ApS;43251503;
Øsløs Tømrerfirma ApS;43252224;
Lindegaard Tag & VVS ApS;43252275;
ECO Service Group ApS;43252364;
CIC Operations Rødbyhavn ApS;43100696;
CPH Trading 1 ApS;43101463;
Stenovns Pizza;43254596;
Fuyu Sushi ApS;43106325;
Salon Shade ApS;43107461;
CAVI Gruppen A/S;43110756;
Drys Øko Urter og Grønt ApS;43111051;
Kong Frit ApS;43256491;
Realise Danmark ApS;43111582;
Speciallæge i gynækologi Christina Damsted Petersen ApS;43256998;
Bladcentralen Aars v/Steffen Rønfeldt Hay Andersen;43111965;
B Entertained ApS;43006363;
RVZ Husly ApS;43258842;
Åbylægerne;43174444;
Lille Fjordgaard ApS;43174797;
JAG27 ApS;43264079;
Autocenter Midtsjælland ApS;43266039;
Hebogård;43268872;
Thales Denmark ApS;43175777;
Nørrebro Kiropraktisk Klinik ApS v. Viktoria Dimitriewicz;43271954;
CRECO A/S;43272594;
BSJ transport ApS;43274120;
Akeab filial af Anläggning & Kabel Entreprenad i Malmö AB Sverige;43274686;
Lauges Entreprenørforretning ApS;43276395;
Søly ApS;43277189;
Todo Komposit ApS;43277332;
BoulevardKiosken ApS;43177729;
Applied Medical Danmark ApS;43278584;
Archii.dk ApS;43177850;
Anders Christoffersen;43178148;
metoped.dk ApS;43278843;
THE FLYING DANE ApS;43278851;
Provstgaard Beauty House ApS;43279335;
Triba Health ApS;43280104;
Søhøjlandets Grønne Rengøring ApS;43281941;
Restaurant Kohalen ApS;43178369;
Koreansk BBQ ApS;43283782;
Yuman ApS;43285866;
KK Ejendomme 2022 Aps;43286188;
Martin´s Tømrerforretning ApS;43286463;
BA Rengøring ApS;43179543;
Ogury Denmark ApS;43289845;
Kaj Kiosk ApS;43292366;
TIMI Life Support ApS;43292544;
Hotel Højbysø ApS;43295039;
Højbysø Ejendomme ApS;43295152;
M2 Animation A/S;43295896;
Casehub A/S;43297023;
CL Silkeborg ApS;43297244;
ARO Import ApS;43297473;
FN Industries v/Frederik Norre;43180894;
Vesterbro Tandlægecenter I/S;43299476;
Ramskov - Project Services ApS;43180959;
Mols Consulting - Natur & Miljø ApS;43301241;
Fair Games ApS;43302981;
Bakgaarden Agro ApS;43303066;
Ramskov - Program and Project Management ApS;43180967;
TriptoBIO ApS;43307495;
Den Blå Ged ApS;43307525;
Bibas Esbjerg ApS;43308351;
J.A. Tømrer og Snedker ApS;43308645;
Kulbar ApS;43308696;
Fang ApS;43309927;
RealMæglerne Køge v. Riis & Co. ApS;43310119;
Kao Gaeng Thai Mad;43310143;
Esja ApS;43310593;
xbuild A/S;43184032;
Taxi & Flex 24 ApS;43311484;
Flow Danish BidCo ApS;43312065;
Humble Barbers ApS;43184857;
SR Hydraulik Service ApS;43312561;
HALIBUT BISTRO ApS;43186469;
Ny Surbæk P/S;43314262;
Kite Bidco ApS;43315552;
CBXmarket ApS;43316893;
2G Erhvervs- & Ejendomsservice ApS;43317245;
Sustaining ApS;43317784;
Global Science & Engineering ApS;43318322;
Rævhede Skovdrift A/S;43187880;
Svendsen Convenience ApS;43320793;
Restaurationsselskabet DLA ApS;43320815;
Frede D Nielsen & Breinholt ApS;43188216;
Top Anlæg ApS;43324179;
BEJE ApS;43191322;
Bin Ocean Pakhus ApS;43324411;
PharmaGroup ApS;43324667;
Blaagaarden ApS;43193376;
Hip Hop ApS;43193708;
Selected Car Investment ApS;43195506;
Annexgårdens Bo-støtte ApS;43327526;
Fyns biler ApS;43196545;
BG Statsautoriserede revisorer ApS;43196863;
RAYDIA A/S;43204084;
Stanley Productions ApS;43327739;
IT-AL ApS;43206230;
Quantum DK ApS;43328883;
Seasight Solutions A/S;43330691;
Harlev Taxa ApS;43331507;
Juni Cafe ApS;43331566;
2 B Biler ApS;43331760;
Global Vision Europe ApS;43207725;
Specialtandlægerne Vestergade ApS;43333291;
HC Betonelementer A/S;43227823;
Deane Roofing and Cladding ApS;43333860;
Gribskov Ridecenter;43230948;
Onesto-Flowers ApS;43335340;
MRZ IS SKANDERBORG;43339273;
Lund´s Træpleje ApS;43340352;
Svendborgsund Bryghus ApS;43340476;
Fladså Tømrer og Snedker ApS;43231154;
Prosegur Change Denmark ApS;43340786;
A-Z Bogholderi ApS;43342029;
MB Team ApS;43231510;
Little Studio ApS;43343068;
BareTM ApS;43343807;
Booking Board ApS;43231952;
GUBI Agro ApS;43235389;
Ubby Autolakering ApS;43346199;
Olga og Peter Dudeks Fond;43236598;
Speciallæge Frej Studstrup ApS;43346504;
Mortensens Mad ApS;43346571;
Lonza Denmark Branch filial af Lonza Sweden AB Sverige;43346814;
Nyhavn 7 ApS;43238124;
Pizza-restaurant Venezia;43243888;
Roma Pizza & Burger;43243896;
DevLabs ApS;43350285;
Info-Teria Pedersminde ApS;43244906;
Anmix;43350684;
JS Vindekilde ApS;43351109;
Mie Bremer Boye Jensen/v Mie Bremer Boye Jensen;43247387;
Hermansen & Hjorth ApS;43351990;
Profil Kloak ApS;43114867;
Codellent ApS;43115235;
Kammas Tapas ApS;43115936;
Zelkon ApS;43121693;
Driftsselskabet HVG ApS;43124463;
Speciallægeselskabet Anders W. Paulsen ApS;43353934;
Puk Bageri ApS;43353993;
Cytiva Denmark ApS;43126261;
JÅKs ApS;43128736;
Plotteriet ApS;43354817;
TA Boligudlejning ApS;43356550;
Compleo Health Group ApS;43356674;
PMJ Entreprise ApS;43356925;
Ny Faurskov ApS;43357131;
Tobii Dynavox ApS;43357360;
Søby2013 ApS;43358103;
Mølvang Vognmandsforretning ApS;43358456;
Kebab-House Slagelse ApS;43358529;
Lægerne på Jægersborgvej;43358545;
Totalporte ApS;43358901;
Secher Vagt ApS;43359045;
Dongsgaard ApS;43129481;
TC Gulve & Gardiner ApS;43132334;
Jan Piersma;43134124;
DB ejendomsmæglerfirmaet ApS;43360639;
Jysk Palleimport A/S;43361104;
eXtraservice APS;43134159;
Skagen El-Tekniq ApS;43362364;
Sport- og Event Group ApS;43362860;
Airlich ApS;43134280;
Rønnovsholm ApS;43363476;
Corner Kebab ApS;43137026;
Dansk Retail Services A/S;43364081;
Dalby Pizza & Restaurant ApS;43137573;
MK Construktion ApS;43139436;
TA Bid & Project DK ApS;43147846;
Chemistry Sound ApS;43148087;
Marbel Bundgaard og Jørgensen ApS;43366076;
Aarhus Kødengros ApS;43150944;
MGB FOOD;43153218;
Relatable Consulting A/S;43368664;
Kiropraktorselskabet Kiro-Fys Godthåbsvej ApS;43368966;
Kiropraktorselskabet Kiro-Fys Nyelandsvej ApS;43368990;
Bjørnkær ApS;43155423;
Hanstholm Fish & Chips ApS;43160540;
Solo Rengøring ApS;43369806;
